Date, Opposition,Home/Away, Type, Notes
27/04/2022, Bovey Tracey 4th Team,Home,20/20,
30/04/2022, Bath University,Home,30+,1.30pmstart
01/05/2022, Spitchwick,Away,30+,
11/05/2022, Ugborough,Home,20/20,
15/05/2022, South Brent,Away,30+,1.30pmStart
21&22/05/2022, Tintern,Home,30+,HostingTinternfortheweekend
25/05/2022, Harberton,Home,20/20,5.30pmStart
29/05/2022,East Prawl,Away,30+,
05/06/2022, Holbeton,Away,30+,2.30pmStart
08/06/2022, Ilsington,Home,20/20,LeagueMatch
14/06/2022, Dartanians (Ashburton),Away,20/20,LeagueMatch
22/06/2022, Manaton,Home,20/20,LeagueMatch
03/07/2002, South Brent,Home,30+,1.30pmStart
06/07/2022, Manaton,Away,20/20,LeagueMatch
10/07/2022, Spitchwick,Home,30+,Ashes
13/07/2022, Ugborough,Home,20/20,
17/07/2022,Philanthropists,tbc,30+,
20/07/2022, Ilsington,Away(@Manaton),20/20,LeagueMatch
24/07/2022, Harberton,Away,30+,2pmStart
26/07/2022, Dartanians (Ashburton),Home,20/20,LeagueMatch
31/07/2022, Ugborough,Home,30+,
10/08/2022, South Brent,Away,20/20,LeagueMatch-6pmStart
14/08/2022,Philanthropists,tbc,30+,
20&21/08/2022, Tintern,Away,30+,WeekendAway
28/08/2022, Holbeton,Home,30+,2pmStart
31/08/2022, South Brent,Home,20/20,LeagueMatch-6pmStart
11/09/2022, End of 20/20 League Social,tbc,20/20,Socialdayandtrophypresentation
tbc,Buckfastleigh CC End of Season Bash,tbc,,
